UI/GameTitle,Solar Mission EST,Solar Mission EST,Solar Mission EST
Lomnicky/SpectroPiezasConseguidas_00,Finally& I've gathered all the pieces of the camera!%I have to go quickly to the telescope room and test it.%Spectro could explode like a @coronal mass ejection| at any moment....,Finally& I've gathered all the pieces of the camera!%I have to go quickly to the telescope room and test it.%Spectro could explode like a coronal mass ejection at any moment....,Finally& I've gathered all the pieces of the camera!%I have to go quickly to the telescope room and test it.%Spectro could explode like a @coronal mass ejection| at any moment....
Lomnicky/SpectroTodoConsegudo_00,Hooray!%The camera works perfectly!%This deserves a great dinner!,Hooray!%The camera works perfectly!%This deserves a great dinner!,Hooray!%The camera works perfectly!%This deserves a great dinner!
Lomnicky/SpectroTodoConsegudo_01,Congratulations UV!%Go to the calble car with the camera to install it on @EST|.%There is no time to waste!,Congratulations UV!%Now go quickly to the cable car and take the camera with you to set it up on EST.%There is no time to waste!,Congratulations UV!%Go to the calble car with the camera to install it on @EST|.%There is no time to waste!
Lomnicky/SpectroTodoConsegudo_02,And bring me some cookies!,And bring me some cookies!,And bring me some cookies!
Lomnicky/CanSee_00,Hello& tiny lamps!%Hiding in that @wavelength| is useless now.%With my camera& I can perfectly see you. ,Hello& tiny lamps!%Hiding in that wavelength is useless now.%With my camera& I can perfectly see you. ,Hello& tiny lamps!%Hiding in that @wavelength| is useless now.%With my camera& I can perfectly see you. 
Lomnicky/CanSee_01,Are you ready?%I'm going to turn you into meatballs! ,Are you ready?%I'm going to turn you into meatballs! ,Are you ready?%I'm going to turn you into meatballs! 
Lomnicky/CameraSecured,Camera secured.%Mission accomplished.%@EST| progress status& 1/5.,Camera secured.%Mission accomplished.%EST progress status& 1/5.,Camera secured.%Mission accomplished.%@EST| progress status& 1/5.
Lomnicky/SpectropolarimeterSecured,Spectropolarimeter secured.%Mission accomplished.%@EST| progress status& 2/5.,Spectropolarimeter secured.%Mission accomplished.%EST progress status& 2/5.,Spectropolarimeter secured.%Mission accomplished.%@EST| progress status& 2/5.
Lomnicky/FiltersSecured,Filters secured.%Mission accomplished.%@EST| progress status& 3/5.,Filters secured.%Mission accomplished.%EST progress status& 3/5.,Filters secured.%Mission accomplished.%@EST| progress status& 3/5.
Lomnicky/AOSecured,Adaptive Optics secured.%Mission accomplished.%@EST| progress status& 5/5.,Adaptive Optics secured.%Mission accomplished.%EST progress status& 5/5.,Adaptive Optics secured.%Mission accomplished.%@EST| progress status& 5/5.
Lomnicky/HRSecured,Heat Rejecter Secured.%Mission accomplished.%@EST| progress status& 4/5.,Heat Rejecter Secured.%Mission accomplished.%EST progress status& 4/5.,Heat Rejecter Secured.%Mission accomplished.%@EST| progress status& 4/5.
PicDuMidi/Intro_0,Bonjour& Ms Prominence!%Sorry for disturbing your breakfast at @Pic du Midi|& but we need your help to... save the world.,Bonjour& Ms Prominence!%Sorry for disturbing your breakfast at Pic du Midi& but we need your help to... save the world.,Bonjour& Ms Prominence!%Sorry for disturbing your breakfast at @Pic du Midi|& but we need your help to... save the world.
PicDuMidi/Intro_1,Solar activity has become crazy.%We hope to find why by observing the Sun at different @wavelengths|.,Solar activity has become crazy.%We hope to find why by observing the Sun at different wavelengths.,Solar activity has become crazy.%We hope to find why by observing the Sun at different @wavelengths|.
PicDuMidi/Intro_2,Your mission is to get high-quality @filters| for EST.%It's the only way to study the various @layers of the solar atmosphere|.,Your mission is to get high-quality filters for EST.%It's the only way to study the various layers of the solar atmosphere.,Your mission is to get high-quality @filters| for EST.%It's the only way to study the various @layers of the solar atmosphere|.
PicDuMidi/Intro_3,D’accord& Spectro.%I’ll be finished before my coffee gets cold.,D’accord& Spectro.%I’ll be finished before my coffee gets cold.,D’accord& Spectro.%I’ll be finished before my coffee gets cold.
PicDuMidi/Intro_4,Not so fast& madame!%You'll have to test them at the @Jean Rösch telescope|.%We must make sure that they are the pieces we need.,Not so fast& madame!%You'll have to test them at the Jean Rösch telescope.%We must make sure that they are the pieces we need.,Not so fast& madame!%You'll have to test them at the @Jean Rösch telescope|.%We must make sure that they are the pieces we need.
PicDuMidi/Intro_5,And& watch out!%There are things out there difficult to see with your naked eye& but... they could kill you!,And& watch out!%There are things out there difficult to see with your naked eye& but... they could kill you!,And& watch out!%There are things out there difficult to see with your naked eye& but... they could kill you!
PicDuMidi/AbrigoGafas,Out there is freezing.%I should equip myself with my own @$filters$|: coat and sunglasses to protect me from the solar radiation.,Out there is freezing.%I should equip myself with my own $filters$: coat and sunglasses to protect me from the solar radiation.,Out there is freezing.%I should equip myself with my own @$filters$|: coat and sunglasses to protect me from the solar radiation.
PicDuMidi/Skill_0,Congratulations!%With this device& you have the power of creating small @solar flares|.%The energy released by @reconnecting magnetic fields| will propel you to the sky!,Congratulations!%With this device& you have the power of creating small solar flares.%The energy released by reconnecting magnetic fields will propel you to the sky!,Congratulations!%With this device& you have the power of creating small @solar flares|.%The energy released by @reconnecting magnetic fields| will propel you to the sky!
PicDuMidi/Skill_1,Great...%When I said I wanted to be a star& I wasn’t precisely thinking of this...,Great...%When I said I wanted to be a star& I wasn’t precisely thinking of this...,Great...%When I said I wanted to be a star& I wasn’t precisely thinking of this...
PicDuMidi/ToastersAdvice_0,Beware of the toasters& the only way to defeat them is by pointing directly to their guts.%But we need @filters| to see what they have inside!,Beware of the toasters& the only way to defeat them is by pointing directly to their guts.%But we need filters to see what they have inside!,Beware of the toasters& the only way to defeat them is by pointing directly to their guts.%But we need @filters| to see what they have inside!
PicDuMidi/TrapDoor_0,This trapdoor leads to the @Jean Rösch telescope| control room.%But first& I should take off the telescope lid from the outside.,This trapdoor leads to the Jean Rösch telescope control room.%But first& I should take off the telescope lid from the outside.,This trapdoor leads to the @Jean Rösch telescope| control room.%But first& I should take off the telescope lid from the outside.
PicDuMidi/UseCoronagraph_0,Ms. Prominence!%Twitter is on fire about the possibility that the sun releases a @coronal mass ejection| inminently.,Ms. Prominence!%Twitter is on fire about the possibility that the sun releases a Coronal Mass Ejection inminently.,Ms. Prominence!%Twitter is on fire about the possibility that the sun releases a @coronal mass ejection| inminently.
PicDuMidi/UseCoronagraph_1,Please use your @coronagraph| and check it. There is no time to lose!%I think you could get really good images of the @solar corona| with the @CLIMSO| coronograph.,Please use your coronagraph and check it. There is no time to lose!%I think you could get really good images of the solar corona with the CLIMSO coronograph.,Please use your @coronagraph| and check it. There is no time to lose!%I think you could get really good images of the @solar corona| with the @CLIMSO| coronograph.
PicDuMidi/UseCoronagraph_2,No problem& Spectro!,No problem& Spectro!,No problem& Spectro!
PicDuMidi/Shortcircuit_0,Oh no! I'm afraid that the toasters have burned the coronagraph controls...%Got it! I’ll call UV.%He can make great observations at @Lomnický Peak|.,Oh no! I'm afraid that the toasters have burned the coronagraph controls...%Got it! I’ll call UV.%He can make great observations at Lomnický Peak.,Oh no! I'm afraid that the toasters have burned the coronagraph controls...%Got it! I’ll call UV.%He can make great observations at @Lomnický Peak|.
PicDuMidi/UVContact_0,UV! My @coronagraph| is sabotaged& and Spectro needs images of the @solar corona|.%Could you take them from @Lomnicky|?,UV!My coronagraph is sabotaged& and Spectro needs images of the solar corona.%Could you take them from Lomnicky?,UV! My @coronagraph| is sabotaged& and Spectro needs images of the @solar corona|.%Could you take them from @Lomnicky|?
PicDuMidi/UVContact_1,Sure& Ms. Prominence!,Sure& Ms. Prominence!,Sure& Ms. Prominence!
PicDuMidi/ReturnData_0,Done& Ms Prominence!%I’m sending Spectro amazing pictures of the @corona|.,Done& Ms Prominence!%I’m sending Spectro amazing pictures of the corona.,Done& Ms Prominence!%I’m sending Spectro amazing pictures of the @corona|.
PicDuMidi/ReturnData_1,Thank you so much& UV!%I owe you a big ‘like’ on your next selfie!,Thank you so much& UV!%I owe you a big ‘like’ on your next selfie!,Thank you so much& UV!%I owe you a big ‘like’ on your next selfie!
PicDuMidi/ReturnData_2,Thank you both.%But let’s stop procrastinating.%We need those @filters| for @EST|! Come on!,Thank you both.%But let’s stop procrastinating.%We need those filters for EST! Come on!,Thank you both.%But let’s stop procrastinating.%We need those @filters| for @EST|! Come on!
PicDuMidi/TelescopeReady,The telescope is ready!%Get all the @filters| and test them!%Hurry up!,The telescope is ready!%Get all the filters and test them!%Hurry up!,The telescope is ready!%Get all the @filters| and test them!%Hurry up!
PicDuMidi/NeedMoreFilters,I don’t have all the @filters| yet.%Why didn't I store them all together...?,I don’t have all the filters yet.%Why didn't I store them all together...?,I don’t have all the @filters| yet.%Why didn't I store them all together...?
PicDuMidi/Laberynth,I think the last time I was here& Galileo was still a postdoc...,I think the last time I was here& Galileo was still a postdoc...,I think the last time I was here& Galileo was still a postdoc...
PicDuMidi/CollectFilters_0,Congratulations Ms. Prominence!%You’ve collected all the @filters|!,Congratulations Ms. Prominence!%You’ve collected all the filters!,Congratulations Ms. Prominence!%You’ve collected all the @filters|!
PicDuMidi/CollectFilters_1,It’s time to test them.%Let’s see which features you can distinguish in the @solar atmosphere|!,It’s time to test them.%Let’s see which features you can distinguish in the solar atmosphere!,It’s time to test them.%Let’s see which features you can distinguish in the @solar atmosphere|!
PicDuMidi/BackFromPuzzle_00,That's incredible!%We've never seen such activity level before. ,That's incredible!%We've never seen such activity level before. ,That's incredible!%We've never seen such activity level before. 
PicDuMidi/BackFromPuzzle_01,The Sun is having a ball!%Although... is not fun at all.%We need those @filters| immediately!,The Sun is having a ball!%Although... is not fun at all.%We need those filters immediately!,The Sun is having a ball!%Although... is not fun at all.%We need those @filters| immediately!
PicDuMidi/BackFromPuzzle_02,On my way!,On my way!,On my way!
PicDuMidi/FinalFight,Those toasters have no secrets for me now!%Equipped with the @filters|& I can see their weak point.%They'll regret spoiling my breakfast!,Those toasters have no secrets for me now!%Equipped with the filters& I can see their weak point.%They'll regret spoiling my breakfast!,Those toasters have no secrets for me now!%Equipped with the @filters|& I can see their weak point.%They'll regret spoiling my breakfast!
PicDuMidi/MisionAccomplished,Mission accomplished.%@Filters| are heading for @EST|.%@EST| progress status& 3/5,Mission accomplished.%Your filters are heading for EST.%EST progress status& 3/5,Mission accomplished.%@Filters| are heading for @EST|.%@EST| progress status& 3/5
Einstein/Intro0,Flare!%Are you already close to the @Einstein Tower|?%Great!,Flare!%Are you already close to the Einstein Tower?%Great!,Flare!%Are you already close to the @Einstein Tower|?%Great!
Einstein/Intro1,Did you know that it was the first solar tower built in Europe?%I still remember when we laid the first brick.%I was a young man with a mane flowing in the wind...,Did you know that it was the first solar tower built in Europe?%I still remember when we laid the first brick.%I was a young man with a mane flowing in the wind...,Did you know that it was the first solar tower built in Europe?%I still remember when we laid the first brick.%I was a young man with a mane flowing in the wind...
Einstein/Intro2,But let's not linger! The @Einstein Tower| has one of the best laboratories in the world for developing solar instruments.%We need you to get a @SPECTROPOLARIMETER| from there& immediately!,But let's not linger! The Einstein Tower has one of the best laboratories in the world for developing solar instruments.%We need you to get a SPECTROPOLARIMETER from there& immediately!,But let's not linger! The @Einstein Tower| has one of the best laboratories in the world for developing solar instruments.%We need you to get a @SPECTROPOLARIMETER| from there& immediately!
Einstein/Intro3,@EST| will decompose and analyze the light using spectropolarimeters.%Good luck!,EST will decompose and analyze the light using spectropolarimeters.%Good luck!,@EST| will decompose and analyze the light using spectropolarimeters.%Good luck!
Einstein/FirstCombat0,Those crazy machines aren't going to make things easy for us...%That's why we've outfitted you with our latest invention: a miniature @coronal mass ejection cannon|. It is the pocket version of one of the most energetic events in the Solar System!,Those crazy machines aren't going to make things easy for us...%That's why we've outfitted you with our latest invention: a miniature Coronal Mass Ejection cannon. It is the pocket version of one of the most energetic events in the Solar System!,Those crazy machines aren't going to make things easy for us...%That's why we've outfitted you with our latest invention: a miniature @coronal mass ejection cannon|. It is the pocket version of one of the most energetic events in the Solar System!
Einstein/BarrierTip0,Oh no!%The @solar storm| has damaged the mechanism that opens the barrier.,Oh no!%The solar storm has damaged the mechanism that opens the barrier.,Oh no!%The @solar storm| has damaged the mechanism that opens the barrier.
Einstein/BarrierTip1,The barrier works with solar energy... try using your cannon to activate it.%But without blowing it up!,The barrier works with solar energy... try using your cannon to activate it.%But without blowing it up!,The barrier works with solar energy... try using your cannon to activate it.%But without blowing it up!
Einstein/BeamSplitterOutside_00,Look! A @beam splitter|!%This optical device splits the light into different rays& each with a different polarisation. I'll give it a try!,Look! A beam splitter!%This optical device splits the light into different rays& each with a different polarisation. I'll give it a try!,Look! A @beam splitter|!%This optical device splits the light into different rays& each with a different polarisation. I'll give it a try!
Einstein/TVWarning0,Watch out Flare! Those TV are @polarised|.%We can't see them clearly without a @spectropolarimeter|...%The best option& for now& is to run away!,Watch out Flare! Those TV are polarised.%We can't see them clearly without a spectropolarimeter...%The best option& for now& is to run away!,Watch out Flare! Those TV are @polarised|.%We can't see them clearly without a @spectropolarimeter|...%The best option& for now& is to run away!
Einstein/TowerEntrance_00,Hurry up!%The laboratory is in the basement.%You have to go in there and get the @spectropolarimeter|.,Hurry up!%The laboratory is in the basement.%You have to go in there and get the spectropolarimeter.,Hurry up!%The laboratory is in the basement.%You have to go in there and get the @spectropolarimeter|.
Einstein/FirstBasementAdvice0,Damn!%The door to the instrument room is closed.,Damn!%The door to the instrument room is closed.,Damn!%The door to the instrument room is closed.
Einstein/FirstBasementAdvice1,The instruments are fed with sunlight from the dome.%Go up and move the @coelostat| to send the light beam to the basement.,The instruments are fed with sunlight from the dome.%Go up and move the coelostat to send the light beam to the basement.,The instruments are fed with sunlight from the dome.%Go up and move the @coelostat| to send the light beam to the basement.
Einstein/FirstDomeAdvice_00,It is too dark! I have to open the dome and let the light come in.%The last time I was observing the Sun& there was a button over here...,It is too dark! I have to open the dome and let the light come in.%The last time I was observing the Sun& there was a button over here...,It is too dark! I have to open the dome and let the light come in.%The last time I was observing the Sun& there was a button over here...
Einstein/DomeNeedMirror0,This is much better!%But oh no!%The @coelostat| mirror needs maintance!,This is much better!%But oh no!%The coelostat mirror is too old and needs maintance!,This is much better!%But oh no!%The @coelostat| mirror needs maintance!
Einstein/DomeNeedMirror1,There is no time for handicrafts!%We recently got a new mirror with improved reflectivity.% It must be in the storage room!,There is no time for handicrafts!%We recently got a new mirror with improved reflectivity.% It must be in the storage room!,There is no time for handicrafts!%We recently got a new mirror with improved reflectivity.% It must be in the storage room!
Einstein/GetMirror,You've got it!%Go back to the dome and fix the @coelostat|.,You've got it!%Go back to the dome and fix the coelostat.,You've got it!%Go back to the dome and fix the @coelostat|.
Einstein/PlaceMirror0,Great! The @coelostat| is fixed!%Now& point the mirror to the Sun so that the light reaches the instrument lab in the basement.,Great! The coelostat is fixed!%Now& point the mirror to the Sun so that the light reaches the instrument lab in the basement.,Great! The @coelostat| is fixed!%Now& point the mirror to the Sun so that the light reaches the instrument lab in the basement.
Einstein/PlaceMirror1,Use the three levers on the wall.%You have to direct the light beam to the hole in the center.%Hurry up!,Use the three levers on the wall.%You have to direct the light beam to the hole in the center.%Hurry up!,Use the three levers on the wall.%You have to direct the light beam to the hole in the center.%Hurry up!
Einstein/WorkingRaysDome,Done!%Let's check if the light beam reaches the instrument room.%The @spectropolarimeter| is there!,Done!%Let's check if the light beam reaches the instrument room.%The spectropolarimeter is there!,Done!%Let's check if the light beam reaches the instrument room.%The @spectropolarimeter| is there!
Einstein/Spectropolarimeter0,Houston! I mean... Spectro! We have a problem!%The @spectropolarimeter| has been sabotaged.%I can’t find the @beam splitter|!,Houston! I mean... Spectro! We have a problem!%The spectropolarimeter has been sabotaged.%I can’t find the beam splitter!,Houston! I mean... Spectro! We have a problem!%The @spectropolarimeter| has been sabotaged.%I can’t find the @beam splitter|!
Einstein/Spectropolarimeter1,Dumb junky machines... why would they want a @beam splitter|?%Without it we cannot see the different @polarisations| of the light.,Dumb junky machines... why would they want a beam splitter?%Without it we cannot see the different polarisations of the light.,Dumb junky machines... why would they want a @beam splitter|?%Without it we cannot see the different @polarisations| of the light.
Einstein/Spectropolarimeter2,Don't worry Flare!%@Lomnicky| is also developing very powerful instruments.%Ask UV to send you what you need.,Don't worry Flare!%Lomnicky is also developing very powerful instruments.%Ask UV to send you what you need.,Don't worry Flare!%@Lomnicky| is also developing very powerful instruments.%Ask UV to send you what you need.
Einstein/ContactLomnicky0,UV& our @spectropolarimeter| won't work if we don't get a @beam splitter| in time.%At @Lomnický| you have developed some of great quality& so please send one to me as soon as possible!,UV& our spectropolarimeter won't work if we don't get a beam splitter in time.%At Lomnický you have developed some of great quality& so please send one to me as soon as possible!,UV& our @spectropolarimeter| won't work if we don't get a @beam splitter| in time.%At @Lomnický| you have developed some of great quality& so please send one to me as soon as possible!
Einstein/ContactLomnicky2,Of course& Flare!%Count on me!,Of course& Flare!%Count on me!,Of course& Flare!%Count on me!
Einstein/UVContact,As soon as I find it...,As soon as I find it...,As soon as I find it...
Einstein/FoundSplitter_00,There is nothing here.,There is nothing here.,There is nothing here.
Einstein/FoundSplitter_01,Look! A camera! I have to remember it is stored here.,Look! A camera! I have to remember it is stored here.,Look! A camera! I have to remember it is stored here.
Einstein/FoundSplitter_02,A heat rejecter. But... who bought this?,A heat rejecter. But... who bought this?,A heat rejecter. But... who bought this?
Einstein/FoundSplitter_03,This book is about $How to restore stability in the solar magnetic field.$ But& I don't have time to read it now!,This book is about $How to restore stability in the solar magnetic field.$ But& I don't have time to read it now!,This book is about $How to restore stability in the solar magnetic field.$ But& I don't have time to read it now!
Einstein/FoundSplitter_04,Plutonium? What do we want Plutonium for?,Plutonium? What do we want Plutonium for?,Plutonium? What do we want Plutonium for?
Einstein/SendSplitter,Here it is!%Flare& I'm sending the beam splitter to you at the speed of light! (wink& wink),Here it is!%Flare& I'm sending the beam splitter to you at the speed of light! (wink& wink),Here it is!%Flare& I'm sending the beam splitter to you at the speed of light! (wink& wink)
Einstein/ReceiveSplitter,Thanks& UV!%I hope the beam splitter works better than your jokes...,Thanks& UV!%I hope the beam splitter works better than your jokes...,Thanks& UV!%I hope the beam splitter works better than your jokes...
Einstein/UsedSplitter0,Got it! Get back to @EST| right away!%There is no time to waste!,Got it! Get back to EST right away!%There is no time to waste!,Got it! Get back to @EST| right away!%There is no time to waste!
Einstein/UsedSplitter1,Now the @spectropolarimeter| is complete. You can use it to locate those polarised televisions and kill them with your cannon. ,Now the spectropolarimeter is complete. You can use it to locate those polarised televisions and kill them with your cannon. ,Now the @spectropolarimeter| is complete. You can use it to locate those polarised televisions and kill them with your cannon. 
Einstein/Finish,Spectropolarimeter secured.%Mission accomplished.%EST progress status& 2/5.,Spectropolarimeter secured.%Mission accomplished.%EST progress status& 2/5.,Spectropolarimeter secured.%Mission accomplished.%EST progress status& 2/5.
SST/StartTarget0,Hello Eclipse!%Sorry for interrupting your stay at @Roque de los Muchachos Observatory|. %This site has awesome conditions for solar observations& right?,Hello Eclipse!%Sorry for interrupting your stay at Roque de los Muchachos Observatory. %This site has awesome conditions for solar observations& right?,Hello Eclipse!%Sorry for interrupting your stay at @Roque de los Muchachos Observatory|. %This site has awesome conditions for solar observations& right?
SST/StartTarget1,Indeed& I'm just around the corner& getting EST ready.%But we are missing an important piece: the @adaptive optics system|.%It corrects the distortions of the solar images caused by the atmosphere.,Indeed& I'm just around the corner& getting EST ready.%But we are missing an important piece: the adaptive optics system.%It corrects the distortions of the solar images caused by the atmosphere.,Indeed& I'm just around the corner& getting EST ready.%But we are missing an important piece: the @adaptive optics system|.%It corrects the distortions of the solar images caused by the atmosphere.
SST/StartTarget2,Your mission is to bring the @adaptive optics system| of the @Swedish Solar Telescope| to @EST|.%We are relying on you!,Your mission is to bring the adaptive optics system of the Swedish Solar Telescope to EST.%We are relying on you!,Your mission is to bring the @adaptive optics system| of the @Swedish Solar Telescope| to @EST|.%We are relying on you!
